EXPEDITION,SITE,HOLE,CORE,CORE_TYPE,SECTION,CC,TOP_DEPTH,BOTTOM_DEPTH,MBSF_TOP,MCD_TOP,AGE (MA),SPLITS,SIZE.MEAN.AREA,SIZE.MEAN.DIAMETERMEAN,SIZE.MEAN.DIAMETERMIN,SIZE.MEAN.DIAMETERMAX,SIZE.MEAN.SPHERICITY,SIZE.MEAN.SHAPEFACTOR,SIZE.MEDIAN.AREA,SIZE.MEDIAN.DIAMETERMEAN,SIZE.MEDIAN.DIAMETERMIN,SIZE.MEDIAN.DIAMETERMAX,SIZE.MEDIAN.SPHERICITY,SIZE.MEDIAN.SHAPEFACTOR,SIZE.SD.AREA,SIZE.SD.DIAMETERMEAN,SIZE.SD.DIAMETERMIN,SIZE.SD.DIAMETERMAX,SIZE.SD.SPHERICITY,SIZE.SD.SHAPEFACTOR,SIZE.95.AREA,SIZE.95.DIAMETERMEAN,SIZE.95.DIAMETERMIN,SIZE.95.DIAMETERMAX,SIZE.95.SPHERICITY,SIZE.95.SHAPEFACTOR,SIZE.9.AREA,SIZE.9.DIAMETERMEAN,SIZE.9.DIAMETERMIN,SIZE.9.DIAMETERMAX,SIZE.9.SPHERICITY,SIZE.9.SHAPEFACTOR,SIZE.SKEWNESS.AREA,SIZE.SKEWNESS.DIAMETERMEAN,SIZE.SKEWNESS.DIAMETERMIN,SIZE.SKEWNESS.DIAMETERMAX,SIZE.SKEWNESS.SPHERICITY,SIZE.SKEWNESS.SHAPEFACTOR,SIZE.KURTOSIS.AREA,SIZE.KURTOSIS.DIAMETERMEAN,SIZE.KURTOSIS.DIAMETERMIN,SIZE.KURTOSIS.DIAMETERMAX,SIZE.KURTOSIS.SPHERICITY,SIZE.KURTOSIS.SHAPEFACTOR,NUMBER.OF.TESTS,MASS.OF.PETRI.DISH,PD.W.SAMPLE,DRY.BULK.MASS,WASH.DATE,WASHER,DRY.WASHED.WEIGHT.W..PD,BULK.WASHED.WEIGHT,X.SAND,NOTES,FRAGMENTS,WHOLE.TESTS,SPLITS,FRAGMENTATION.INDEX,FILE_NAME
154,925.0,C,1,H,2,no,29.0,31.0,1.79,1.79,0.0419052631578947,5.0,66051.6880629868,268.922445869722,222.821780398599,306.438506784142,0.66409204352649,0.757517806534655,45029.5676739888,237.999687356429,198.897801968171,270.548257101664,0.656580727315857,0.762713339796439,59876.7457572674,105.605435726295,88.1217148343757,124.337792477728,0.113593008248942,0.0473454710380738,195163.060196843,496.403482771298,418.563399060077,553.882907503635,0.875872372191866,0.828234374136208,133529.30147992,409.830318329536,341.979630347699,470.380030257924,0.82092226025809,0.816590967294895,2.61951134930178,1.55196545887064,1.57215625015902,1.63133155607911,0.326647521606479,-0.2191137296257,11.478507011613,5.58213972329481,5.67552149667677,6.11285829307425,2.69197070961207,2.2473187976626,688.0,45.55,58.4,12.85,11/07/2019,Fraass,,1.76,,reweighed,,,,,"925C,1H-2,29-31"
154,925.0,C,1,H,2,no,39.0,40.0,1.89,1.89,0.0441157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"925C,1H-2,39-40"
154,925.0,C,1,H,2,no,53.0,55.0,2.03,2.03,0.0473008849557522,5.0,64129.2273541099,261.928729981216,218.761407583829,299.039535899297,0.663026302263079,0.782370126192098,40507.0422871276,225.576837603274,189.826651798445,256.292274159419,0.65357576856084,0.791036537993013,60730.7293890191,109.760982931631,94.4822598980619,127.145666194753,0.119386709352686,0.0489155737787967,201000.161953366,503.189280740771,424.92699781338,574.390162492015,0.886599331533026,0.848750387713479,138461.46330086,416.792615348833,354.431186167795,483.610037916017,0.839929105344057,0.838290290525931,2.40435686603622,1.42744726423276,1.4826981736227,1.48649839670746,0.366408043977573,-0.685675687442196,10.351576119,4.83686075365463,5.13255586785603,5.14085749680337,2.70875843907641,3.10249071908444,1962.0,46.92,64.25,17.33,15/06/2019,Fraass,48.94,2.02,0.1044,,76.0,466.0,9.0,0.859778597785978,"925C,1H-2,53-55"
154,925.0,C,1,H,2,no,69.0,71.0,2.19,2.19,0.0509823008849557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"925C,1H-2,69-71"
154,925.0,C,1,H,2,no,83.0,85.0,2.33,2.33,0.0542035398230089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"925C,1H-2,83-85"
154,925.0,C,1,H,2,no,98.0,100.0,2.48,2.48,0.0576548672566372,6.0,65480.0912954529,267.351895661485,222.102846525546,305.777610634939,0.651806203301479,0.793828733918995,46309.9773422853,241.484924467252,202.622634272799,273.760462282129,0.640226680415195,0.80221345475272,59574.9662769742,104.207709900008,86.4801223721455,120.927914656842,0.122083163626502,0.04902769751118,180254.327460839,474.912090178167,396.608545695737,547.398996114644,0.883853097593926,0.862625292607877,131276.050699972,409.724693884399,342.678326257103,464.858699676384,0.825699192699991,0.847876158859534,2.89608270144765,1.57623894019058,1.58734388142824,1.60057225560996,0.411094332018079,-0.641686112732977,14.2510434554123,6.12513004250353,6.1673652147575,6.34109231932303,2.77874275133013,3.23071489744206,1090.0,46.93,63.94,17.01,12/07/2019,Fraass,,2.21,,reweighed,131.0,556.0,9.0,0.809315866084425,"925C,1H-2,98-100"
154,925.0,C,1,H,2,no,110.0,112.0,2.6,2.6,0.0604159292035398,5.0,57528.2202006752,253.794066637217,217.100600416676,286.417154445711,0.699934050513556,0.786113590890368,40737.5171385733,227.460121922987,194.32142872826,255.696553584591,0.688900610997285,0.793827634470013,50648.3058694383,92.7770412730309,80.053765829897,107.48417011781,0.135371653753947,0.0545681166802019,160291.345456671,450.138460065655,386.409273847417,511.899295534769,0.937233237309471,0.868084827242219,112837.008402188,378.669753529512,319.12969569766,431.102540112637,0.900772280949382,0.853825676138298,3.52006261057923,1.75538643420164,1.98487841352836,1.68415533129529,0.197990785440014,-0.354883150914682,26.4249056865214,7.29789279869882,9.06531818457034,6.98420900462533,2.18170470415755,2.4207408592139,1403.0,47.42,56.82,9.4,11/07/2019,Fraass,,0.51,,reweighed,,,,,"925C,1H-2,110-112"
154,925.0,C,1,H,2,no,129.0,130.0,2.79,2.79,0.064787610619469,4.0,56075.9704532474,255.172800522489,219.088423435632,291.270633929348,0.687151416267441,0.796263110671787,45532.3178860676,239.468910218202,205.862687987652,275.148232152942,0.683409023902419,0.807375015710708,36182.4452636103,74.8136260486066,64.4318863754255,88.234403984872,0.148534409001454,0.0613082401776372,127962.793347059,401.975542100079,337.650592528527,463.630350290655,0.929309269487533,0.878066913233162,99925.6728787626,355.366304379663,304.434203943584,407.527247681925,0.89391710223128,0.869316034654573,2.55214395941316,1.14946967546833,1.29084711099618,1.11236794192107,0.0627344002305251,-0.527528680766653,16.9591061519424,5.2845615079587,7.19020082588688,4.78012890765982,2.01243113416368,2.39300224532373,1523.0,47.39,58.9,11.51,15/06/2019,Fraass,47.82,0.4299999999999997,0.036,,,,,,"925C,1H-2,129-130"
154,925.0,C,1,H,2,no,143.0,145.0,2.93,2.93,0.0680088495575221,5.0,66612.8002602442,271.208951045338,227.695376531362,310.069033135156,0.661620990905309,0.792615212383019,47480.0337718239,244.252935580586,205.735590801387,279.949174949406,0.647333565256097,0.799376984756781,57535.8138292853,101.539307911342,87.740767390267,117.278400415154,0.127365422669838,0.0498355451575594,180224.362601058,472.858198467057,404.629372207968,549.640751358892,0.900883110362929,0.86441447925865,135319.879872305,413.801498886044,344.260782841268,470.475721887633,0.847147457510456,0.850310944298633,3.06750039676842,1.5112427466713,1.64418558478872,1.50201403561794,0.349929009438339,-0.67707821146469,19.0947683557763,6.23390707712986,7.11709944055202,6.37644642481078,2.53433323244225,3.31136165527972,1886.0,47.26,59.37,12.11,11/07/2019,Fraass,,1.08,,reweighed,127.0,448.0,8.0,0.779130434782609,"925C,1H-2,143-145"
154,925.0,C,1,H,3,no,5.0,7.0,3.05,3.05,0.0707699115044248,5.0,65048.4679994429,267.49657165256,223.159161647075,306.071976310189,0.658754258756476,0.788944657103627,47130.4437410471,242.959515186373,201.936289812116,280.257501696598,0.641102761975874,0.798441499564049,54819.596843154,100.995947096322,86.7445680456648,116.561869048149,0.127966294466487,0.0513200806678879,171037.992731096,463.461986664613,396.925132445575,534.146590879744,0.901919892190508,0.857082607769712,128706.207249242,402.542438592236,336.147945473476,461.674313568647,0.841187275874693,0.84641032511641,2.64222754589363,1.27810021546682,1.38873413877239,1.34498337016235,0.369431940368828,-0.677310881797047,15.0729957213411,5.06694638123659,5.36049568566874,5.67730390210422,2.57795697162419,3.01711803029092,1522.0,47.26,58.54,11.28,15/06/2019,Fraass,48.5,1.240000000000002,0.099,,,,,,"925C,1H-3,5-7"
