Min (Diameter) (µm),Max (Diameter) (µm),Mean (Diameter) (µm),Elongation,Sphericity,Shape Factor,Mean (Gray Intensity Value),Age (Ma),FILE_NAME,Area (µm²),Perimeter (µm)
234.05879054564838,310.49250201217814,276.68353700704336,2.2125168557439525,1.6876746639897597,1.7957251889385362,115.99439823598746,2.73445454545455,"925B,10H-1,120-122.xlsx",66147.71728381258,971.1954964560844
225.20819265874212,293.834503798276,262.50431642957653,2.204741807224172,1.6957293847882184,1.806127020602029,104.97061528231062,2.71932727272727,"925B,10H-1,68-70.xlsx",58410.17093030449,914.022932406028
221.17513085912654,293.0621450073251,261.19112413672576,2.207174907282715,1.6931798459975524,1.791774989090038,113.23304139536765,2.77518181818182,"925B,10H-2,103-105.xlsx",58767.57028880655,918.2630029905129
217.0340868977501,284.81605339352683,254.6637480665985,2.2089393156549644,1.6913880311649552,1.8093576400995859,101.24252993689593,2.78595833333333,"925B,10H-2,133-135.xlsx",,
226.78806008930943,306.39688594919505,271.6597710014864,2.222252254134934,1.6770559105973435,1.7875376511030525,119.6423880080037,2.749,"925B,10H-2,20-22.xlsx",64060.740175914165,960.5876303310686
226.9001865546427,297.5330038413048,265.76414610466645,2.2082396823693133,1.6915872638501066,1.8037226948988205,111.96521827771878,2.76325454545455,"925B,10H-2,69-71.xlsx",60504.37441128595,927.4984004432641
233.31821195280617,305.24655980189834,273.4884277246488,2.2068959079666817,1.693858522094661,1.8082114318599642,102.52511609938276,2.8405,"925B,10H-3,145-147.xlsx",,
231.3192669515831,301.3273554544077,269.83118419208535,2.200605996612961,1.6998236329091763,1.8063447176979288,97.52611962537142,2.79905555555556,"925B,10H-3,24-26.xlsx",,
224.23489288529035,291.86519297858223,261.73987735802234,2.2014614615953927,1.699364767646306,1.8118386224204535,97.02351860902937,2.81084745762712,"925B,10H-3,59-61.xlsx",,
232.7381267219417,306.00480400590544,273.72622511361345,2.2111306915759306,1.6890345559148716,1.8099431084882514,103.13916468918507,2.82549152542373,"925B,10H-3,95-97.xlsx",,
206.16670830129752,268.2182248749644,239.8291726276417,2.1991192109882913,1.7016735592320567,1.812616087448985,104.56680730035791,2.88426086956522,"925B,10H-4,142-144.xlsx",48499.80900615536,831.5406728885716
218.7390806320426,282.7680430013545,253.82689418985782,2.1956692057982394,1.7056627434918346,1.8162350909848939,96.63746051725138,2.853,"925B,10H-4,45-47.xlsx",,
210.343730333816,278.73001709520673,248.34776962936627,2.2109515757420155,1.688682041408854,1.7852670371511994,112.36301705069056,2.86933333333333,"925B,10H-4,94-96.xlsx",52236.57787257362,876.1296954157466
252.70394762894207,327.2129667122578,293.810388271925,2.1984299992580794,1.7050236200627231,1.8097390897515355,104.15388623994056,3.19445454545455,"925B,11H-2,120-122.xlsx",,
229.04020932453022,295.0097586762916,265.5075545056301,2.1932548374017293,1.711053466567467,1.8091096001470552,95.65154465352656,3.176,"925B,11H-2,67-69.xlsx",,
235.39955836764352,305.2602592973188,274.11423145032086,2.198877128087865,1.7035035511208334,1.8125539260150128,115.21238630856134,3.24141758241758,"925B,11H-3,112-114.xlsx",64029.90515547656,950.1440512854638
236.82993051368499,308.7571331709463,276.0161155007947,2.206363758594466,1.6948856023870378,1.808933221768686,99.50288694286256,3.21954545454545,"925B,11H-3,39-41.xlsx",,
233.89283734004502,302.4276876431058,271.42607964160015,2.1991116815000686,1.7032244185567085,1.8146445027407443,102.16115147580939,3.22968965517241,"925B,11H-3,71-73.xlsx",,
248.9029694258078,320.555593934942,288.4397978726017,2.1898459756272364,1.7138007133743176,1.803736415391626,107.03022722565645,3.27918181818182,"925B,11H-4,116-118.xlsx",71997.07173282864,1005.1214818387359
